timestamp,open,high,low,close,volume
2026-01-05T09:30:00-05:00,100.00000,100.02000,99.98000,100.00000,1000
2026-01-05T09:31:00-05:00,100.06781,100.10417,100.04781,100.08417,1000
2026-01-05T09:32:00-05:00,100.13638,100.18730,100.11638,100.16730,1000
2026-01-05T09:33:00-05:00,100.20640,100.26847,100.18640,100.24847,1000
2026-01-05T09:34:00-05:00,100.27833,100.34693,100.25833,100.32693,1000
2026-01-05T09:35:00-05:00,100.35242,100.42219,100.33242,100.40219,1000
2026-01-05T09:36:00-05:00,100.42859,100.49406,100.40859,100.47406,1000
2026-01-05T09:37:00-05:00,100.50648,100.56264,100.48648,100.54264,1000
2026-01-05T09:38:00-05:00,100.58546,100.62832,100.56546,100.60832,1000
2026-01-05T09:39:00-05:00,100.66466,100.69172,100.64466,100.67172,1000
2026-01-05T09:40:00-05:00,100.74309,100.76309,100.71356,100.73356,1000
2026-01-05T09:41:00-05:00,100.81972,100.83972,100.77466,100.79466,1000
2026-01-05T09:42:00-05:00,100.89358,100.91358,100.83574,100.85574,1000
2026-01-05T09:43:00-05:00,100.96384,100.98384,100.89739,100.91739,1000
2026-01-05T09:44:00-05:00,101.02992,101.04992,100.95997,100.97997,1000
2026-01-05T09:45:00-05:00,101.09152,101.11152,101.02357,101.04357,1000
2026-01-05T09:46:00-05:00,101.14864,101.16864,101.08797,101.10797,1000
2026-01-05T09:47:00-05:00,101.20158,101.22158,101.15267,101.17267,1000
2026-01-05T09:48:00-05:00,101.25088,101.27088,101.21691,101.23691,1000
2026-01-05T09:49:00-05:00,101.29728,101.31979,101.27728,101.29979,1000
2026-01-05T09:50:00-05:00,101.34159,101.38030,101.32159,101.36030,1000
2026-01-05T09:51:00-05:00,101.38461,101.43746,101.36461,101.41746,1000
2026-01-05T09:52:00-05:00,101.42704,101.49041,101.40704,101.47041,1000
2026-01-05T09:53:00-05:00,101.46937,101.53850,101.44937,101.51850,1000
2026-01-05T09:54:00-05:00,101.51186,101.58133,101.49186,101.56133,1000
2026-01-05T09:55:00-05:00,101.55445,101.61882,101.53445,101.59882,1000
2026-01-05T09:56:00-05:00,101.59680,101.65118,101.57680,101.63118,1000
2026-01-05T09:57:00-05:00,101.63830,101.67891,101.61830,101.65891,1000
